Samples  ;Experimental_group;Biological_material;Total LysoPC;Total PC;Total SM and CerPE;Total ePC;Total LysoPE;Total PE;Total ePE;Total PI;Total PS;Total PA
P0_C57_1;P0_C57;Hipocampo;0.68472;59.93928;1.49901;1.35545;0.33014;19.68012;0.98036;4.86232;9.77026;0.86389
P0_C57_2;P0_C57;Hipocampo;0.70722;58.85564;1.59740;1.50738;0.37839;19.40973;0.95645;5.18711;10.50786;0.84300
P0_C57_3;P0_C57;Hipocampo;0.67312;59.19648;1.36784;1.35727;0.20361;20.27783;1.05227;4.41063;10.63652;0.76249
P0_C57_4;P0_C57;Hipocampo;0.66139;55.07681;1.39419;1.47840;0.21319;22.08408;1.15801;5.08586;11.87742;0.91514
P0_C57_5;P0_C57;Hipocampo;0.68161;58.26706;1.46461;1.42462;0.28133;20.36294;1.03677;4.88648;10.69801;0.84613
P0_KI_1;P0_KI;Hipocampo;0.69426;65.41964;1.13398;1.70693;0.48777;17.31738;0.99347;4.19267;6.99861;0.98739
P0_KI_2;P0_KI;Hipocampo;0.74746;62.83583;1.32416;1.65056;0.43667;17.22783;0.87647;4.56144;9.61319;0.65723
P0_KI_3;P0_KI;Hipocampo;0.66879;62.02693;1.60885;1.72518;0.26368;17.71818;1.02640;4.31205;9.47015;1.14850
P0_KI_4;P0_KI;Hipocampo;0.65135;62.95077;1.53916;1.67665;0.40084;17.90941;0.93402;4.06268;8.91581;0.89456
P0_KI_5;P0_KI;Hipocampo;0.69047;63.30829;1.40154;1.68983;0.39724;17.54320;0.95759;4.28221;8.74944;0.92192
P0_3xAD_1;P0_3xAD;Hipocampo;0.69472;61.22803;1.31980;1.71230;0.25699;17.97563;1.06012;5.04786;9.09236;1.55569
P0_3xAD_2;P0_3xAD;Hipocampo;0.68825;64.75255;1.23962;1.81530;0.48973;17.42224;0.92238;4.38845;7.19353;1.04870
P0_3xAD_3;P0_3xAD;Hipocampo;0.62524;64.83701;1.32463;1.75062;0.40174;16.62424;0.89152;4.65764;7.87497;0.96148
P0_3xAD_4;P0_3xAD;Hipocampo;0.68663;65.02665;1.26869;1.74550;0.41766;16.46520;0.89794;4.30730;8.16736;0.94758
P0_3xAD_5;P0_3xAD;Hipocampo;0.67371;63.96106;1.28818;1.75593;0.39153;17.12183;0.94299;4.60031;8.08205;1.12836
